TITLE = CRM_v38h_DDES_dt100_ldDLR_CFL2_eigval015_pswitch1_tau2017_2 results
VARIABLES = "mode_no" "eigenvalue"
ZONE T = "CRM_v38h_DDES_dt100_ldDLR_CFL2_eigval015_pswitch1_tau2017_2 results"
0.000000000000000000e+00 5.632288659543123096e+06
1.000000000000000000e+00 4.970665885711297393e+06
2.000000000000000000e+00 2.929399060934827197e+06
3.000000000000000000e+00 2.660148823607872240e+06
4.000000000000000000e+00 1.626168032573522767e+06
5.000000000000000000e+00 1.499390980629964499e+06
6.000000000000000000e+00 1.293479187447599368e+06
7.000000000000000000e+00 1.146473053870494245e+06
8.000000000000000000e+00 9.389583582820354495e+05
9.000000000000000000e+00 7.444806863587936386e+05
1.000000000000000000e+01 7.362851498930292437e+05
1.100000000000000000e+01 6.292426805830536177e+05
1.200000000000000000e+01 5.645030363026051782e+05
1.300000000000000000e+01 4.860051325084546115e+05
1.400000000000000000e+01 4.462740888367776060e+05
1.500000000000000000e+01 3.936971572722960263e+05
1.600000000000000000e+01 3.724519905907888897e+05
1.700000000000000000e+01 3.500426364604756818e+05
1.800000000000000000e+01 3.327041844357853406e+05
1.900000000000000000e+01 2.823316984582191217e+05
2.000000000000000000e+01 2.677680116889572819e+05
2.100000000000000000e+01 2.591512920066016959e+05
2.200000000000000000e+01 -9.513123839545412832e-11
2.300000000000000000e+01 2.262312439886364155e+05
2.400000000000000000e+01 2.146848153537673061e+05
2.500000000000000000e+01 2.098889590671550250e+05
2.600000000000000000e+01 1.924853643404398754e+05
2.700000000000000000e+01 1.830253634705791774e+05
2.800000000000000000e+01 1.669706576806836529e+05
2.900000000000000000e+01 1.512177201752534893e+05
3.000000000000000000e+01 1.472091499590857420e+05
3.100000000000000000e+01 1.413818329321912606e+05
3.200000000000000000e+01 1.287102627785705263e+05
3.300000000000000000e+01 1.220562846665111865e+05
3.400000000000000000e+01 1.211659509716390894e+05
3.500000000000000000e+01 6.617172146213302040e+04
3.600000000000000000e+01 1.140264535062987416e+05
3.700000000000000000e+01 7.012586479517728731e+04
3.800000000000000000e+01 7.298939693393572816e+04
3.900000000000000000e+01 7.634571298553139786e+04
4.000000000000000000e+01 7.835399673939507920e+04
4.100000000000000000e+01 8.034622177649123478e+04
4.200000000000000000e+01 1.099559404163930012e+05
4.300000000000000000e+01 8.465618308996422275e+04
4.400000000000000000e+01 8.883251463602429430e+04
4.500000000000000000e+01 9.132478043760878791e+04
4.600000000000000000e+01 9.380315858795196982e+04
4.700000000000000000e+01 9.832279072504247597e+04
4.800000000000000000e+01 1.018360567475344142e+05
4.900000000000000000e+01 1.049975723192823643e+05
